input,target
The car it's parked in the driveway.,The car is parked in the driveway.
She's got mad skills on the basketball court.,She has exceptional skills on the basketball court.
I will return back to the office after lunch.,I will return to the office after lunch.
He's not sharpest tool shed.,He's not the sharpest tool in the shed.
I think they use AI and ML in their app.,I think they use artificial intelligence and machine learning in their app.
I am absolutely certain and sure about my decision.,I am absolutely certain about my decision.
"Laughter is the best medicine, but all work and no play makes Jack a dull boy.",Laughter is the best medicine.
The volunteers was helping at the event.,The volunteers were helping at the event.
"The magazine features fashion, beauty tips, and it has celebrity interviews.","The magazine features fashion, beauty tips, and celebrity interviews."
"The stars, shining, beautiful night sky.",The stars were shining in the beautiful night sky.
She don't know the answer to the question.,She doesn't know the answer to the question.
the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
They don't have no plans for the weekend.,They don't have any plans for the weekend.
The students were study for their exams.,The students were studying for their exams.
The flock of birds fly south for the winter.,The flock of birds flies south for the winter.
"The course includes lectures, hands-on activities, and students will work on projects.","The course includes lectures, hands-on activities, and project work."
The cake was decorated by the baker with icing and flowers.,The baker decorated the cake with icing and flowers.
It's calm before storm.,It's the calm before the storm.
I need to buy new shoes because my old shoes are old.,I need to buy new shoes because my old ones are worn.
Many of the items on this list are essential for a camping trip.,Many items on this list are essential for a camping trip.
She prefered to eat apple instead of orange.,She preferred to eat an apple instead of an orange.
She's shoes are the latest fashion.,Her shoes are the latest fashion.
She was hiding behind the door.,She was hiding in back of the door.
The bird was sitting on the tree.,The bird was sitting in the tree.
"The team is talented, but they are inexperienced.",The team is talented and inexperienced.
The lecture was given by Professor Smith.,Professor Smith gave the lecture.
The movie was boring and it was not interesting.,The movie was boring.
She told him to quietly enter the room.,She told him to enter the room quietly.
"The mail should be arrives soon, I'm expecting a package.",The mail should arrive soon; I'm expecting a package.
The computer be not working properly.,The computer is not working properly.
The weather is less hotter today than yesterday.,The weather is cooler today than yesterday.
"If I had the time machine, I am going to visit ancient Rome.","If I had a time machine, I would visit ancient Rome."
"The new restaurant opened today, the food was delicious.",The new restaurant opened today; the food was delicious.
The series of paintings in the gallery tell a story.,The series of paintings in the gallery tells a story.
"The program encourages team building, communication, and to solve problems creatively.","The program encourages team building, communication, and creative problem-solving."
The flowers was watered by the gardener.,The flowers were watered by the gardener.
The company is planning to launch its new product next weak.,The company is planning to launch its new product next week.
The cake is frost with chocolate icing.,The cake is frosted with chocolate icing.
The chef's signature dish is made by roast vegetables and herbs.,The chef's signature dish is made by roasting vegetables and herbs.
Some of the dishes on this menu are vegetarian.,Some dishes on this menu are vegetarian.
"The apple doesn't fall far from the tree, but a leopard can't change its spots.",The apple doesn't fall far from the tree.
They didn't seen the sign.,They didn't see the sign.
The hikers decided to gradually climb the mountain.,The hikers decided to climb the mountain gradually.
She has the most longest hair I've ever seen.,She has the longest hair I've ever seen.
"She likes to dance, sing, and spending time with friends.","She likes to dance, sing, and spend time with friends."
"If I had a car, I will go on a road trip.","If I had a car, I would go on a road trip."
"He wants to learn how to play the guitar, speaking French, and cooking gourmet meals.","He wants to learn how to play the guitar, speak French, and cook gourmet meals."
John and me went to the store yesterday.,John and I went to the store yesterday.
He is waiting outside the doctor's office.,He is waiting outside of the doctor's office.
All of the cookies you baked are delicious.,All the cookies you baked are delicious.
He will finish the race in an hour.,He will finish the race in an hour.
Some of the members of this club are talented musicians.,Some members of this club are talented musicians.
My friend they play basketball.,My friends play basketball.
The book I'm reading it is about mindfulness.,The book that I'm reading is about mindfulness.
She gave the books to John and I.,She gave the books to John and me.
The class of students was eager to learn.,The class of students were eager to learn.
The hotel offers free Wi-Fi and a cont'l bfast.,The hotel offers free wireless internet and a continental breakfast.
Some of the flights to Europe have layovers.,Some flights to Europe have layovers.
There are various different ways to approach this problem.,There are various ways to approach this problem.
He doesn't have no siblings.,He doesn't have any siblings.
The cake was baked by my grandmother for my birthday.,My grandmother baked the cake for my birthday.
The store is closed today because of the holiday.,The store is closed today because of the holiday.
Me and her went to the movies last night.,She and I went to the movies last night.
This recipe is most simpler than the other one.,This recipe is simpler than the other one.
"The climate is cold, but it is dry.",The climate is cold and dry.
He bought a new pair of shoes that were very unconfortable.,He bought a new pair of shoes that were very uncomfortable.
I'm allergic to cats I can't have one as a pet.,"I'm allergic to cats, so I can't have one as a pet."
"The book is interesting, it's about ancient civilizations.",The book is interesting; it's about ancient civilizations.
She is learning a new language at a school.,She is learning a new language at the school.
She was very discrete in her dealings.,She was very discreet in her dealings.
"The app allows users to track their expenses, set budgets, and to receive financial tips.","The app allows users to track their expenses, set budgets, and receive financial tips."
They're gonna demo their new product at the expo.,They're going to demonstrate their new product at the expo.
"The workshop teaches writing skills, storytelling, and how to engage your audience.","The workshop teaches writing skills, storytelling, and audience engagement."
"The exercise routine includes stretching, strength training, and doing cardio exercises.","The exercise routine includes stretching, strength training, and cardio exercises."
This game is more easier than the last one.,This game is easier than the last one.
He's gonna need a new hard drive for his comp.,He's going to need a new hard drive for his computer.
The plants were pruned by the gardener to encourage growth.,The gardener pruned the plants to encourage growth.
Some of the furniture in this store is made of high-quality wood.,Some furniture in this store is made of high-quality wood.
The dress was worn by the actress at the awards ceremony with a long train.,The dress with a long train was worn by the actress at the awards ceremony.
The list of ingredients in the recipe need revision.,The list of ingredients in the recipe needs revision.
They don't know nothing about the new policy.,They don't know anything about the new policy.
The house was decorated with balloons and banners for the party.,The house was decorated with balloons and banners for the party.
"The house has a spacious living room, modern kitchen, and the backyard is big.","The house has a spacious living room, modern kitchen, and a big backyard."
"The party will have food, drinks, and to play games.","The party will have food, drinks, and games to play."
The report was completed by the team before the deadline.,The team completed the report before the deadline.
The doctor asked the patient to describe it's symptoms.,The doctor asked the patient to describe his or her symptoms.
She was cleaning her room listening to music.,She was cleaning her room while listening to music.
The car was drove by him.,The car was driven by him.
The cat hurt it's paw while climbing the tree.,The cat hurt its paw while climbing the tree.
The new employee is more punctual than the old one.,The new employee is more punctual than the old one.
"Slow and steady wins the race, but time waits for no one.",Slow and steady wins the race.
"The vacation package includes flights, accommodation, and to arrange activities.","The vacation package includes flights, accommodation, and arranged activities."
"You can't have your cake and eat it too, but it's a piece of cake.",You can't have your cake and eat it too.
She was very complementary to his work.,She was very complimentary to his work.
"Could you pass me the flour, please?","Could you pass me the flower, please?"
He works as a doctor and helps many peoples.,He works as a doctor and helps many people.
The farmer is harvesting a crops in a field.,The farmer is harvesting crops in the field.
The store close at 9 PM tonight.,The store closes at 9 PM tonight.
He's at end of his rope.,He's at the end of his rope.
She putted the flowers in a vase on the table.,She put the flowers in a vase on the table.
I be going to the store to buy groceries.,I am going to the store to buy groceries.
The pair of earrings has been misplaced.,The pair of earrings have been misplaced.
The kittens were discovered under the porch by the family covered in mud.,The kittens covered in mud were discovered by the family under the porch.
The recipe I tried it last night was delicious.,The recipe that I tried last night was delicious.
"If I will be there, I would help you with your work.","If I were there, I would help you with your work."
She didn't never visit the museum.,She never visited the museum.
"If they get a new job, they could have moved to another city.","If they got a new job, they could move to another city."
The conference room was equiped with a projector and whiteboard.,The conference room was equipped with a projector and whiteboard.
The pilot was fly the plane during the storm.,The pilot was flying the plane during the storm.
The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
"A watched pot never boils, but the best things in life are free.",A watched pot never boils.
The movie am starting in five minutes.,The movie is starting in five minutes.
He asked her to slowly explain the process.,He asked her to explain the process slowly.
The patient is recovering from a surgery at a hospital.,The patient is recovering from surgery at the hospital.
She has paint her room last week.,She painted her room last week.
The company was fined for pollute the river.,The company was fined for polluting the river.
the pacific ocean is the largest and deepest ocean on Earth.,The Pacific Ocean is the largest and deepest ocean on Earth.
People live in the city are usually busy.,People who live in the city are usually busy.
The student is more smarter than the teacher.,The student is smarter than the teacher.
The family went on a vacation and shared them experiences on social media.,The family went on a vacation and shared their experiences on social media.
"The artist's work is creative, thought-provoking, and to evoke emotions.","The artist's work is creative, thought-provoking, and evokes emotions."
I went to the store I bought groceries.,"I went to the store, and I bought groceries."
The set of questions in the exam was challenging.,The set of questions in the exam were challenging.
The speech was delivered by the politician at the rally.,The politician delivered the speech at the rally.
"He doesn't likes to eat vegetables, especially peas.","He doesn't like to eat vegetables, especially peas."
mount everest is the highest peak in the world.,Mount Everest is the highest peak in the world.
I like chocolate cake it is my favorite dessert.,I like chocolate cake; it is my favorite dessert.
The table I bought it last week is damaged.,The table that I bought last week is damaged.
It's a long drive... worth the trip.,"It's a long drive, but it's worth the trip."
She gave him a piece of her mind.,She gave him a piece of her mind.
She going to the beach for vacation tomorrow.,She is going to the beach for vacation tomorrow.
The exam was most easier than I thought.,The exam was easier than I thought.
He is always continuously working on his projects.,He is always working on his projects.
The cake are ready to be served.,The cake is ready to be served.
I like chocolate cake but not vanilla.,"I like chocolate cake, but not vanilla."
The bakeries in this area makes delicious pastries.,The bakeries in this area make delicious pastries.
The cookies needs to cool before we can eat them.,The cookies need to cool before we can eat them.
I prefer cook at home instead of eating out.,I prefer cooking at home instead of eating out.
The customer returned the product because them were not satisfied with its quality.,The customer returned the product because he or she was not satisfied with its quality.
Theyre dog is very cute.,Their dog is very cute.
I am look forward to meet you in person.,I am looking forward to meeting you in person.
The children was playing in the park.,The children were playing in the park.
"He's running out of steam, but the grass is always greener on the other side.",He's running out of steam.
I haven't got no money to spend.,I haven't got any money to spend.
The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
He saw the advertisement he decided to apply.,"He saw the advertisement, and he decided to apply."
She always be triying new things.,She always tries new things.
"Kindly provide me with the burger, fries, and a coke, please.","Can I have a burger, fries, and a coke, please?"
He fastly ran the race.,He ran the race quickly.
She think she can finish the project.,She thinks she can finish the project.
He no likes pineapple on his pizza.,He doesn't like pineapple on his pizza.
The tourists are exploring a city on a guided tour.,The tourists are exploring the city on a guided tour.
The concert was performed by the orchestra with great energy.,The concert with great energy was performed by the orchestra.
Few of the ingredients in this dish are spicy.,Few ingredients in this dish are spicy.
The co is implementing new CSR policies.,The company is implementing new corporate social responsibility policies.
i’m going to the movies with my friends.,I’m going to the movies with my friends.
I dunno if I can make it to the party tonight.,I don't know if I can make it to the party tonight.
He promised to immediately call when he arrived.,He promised to call immediately when he arrived.
this is a beautiful painting by vincent van gogh.,This is a beautiful painting by Vincent van Gogh.
"Let the cat out of the bag, but don't count your chickens before they hatch.",Let the cat out of the bag.
The number of tasks to complete have increased.,The number of tasks to complete has increased.
The song was performed by the choir at the concert.,The choir performed the song at the concert.
Didn't expect... see you here.,I didn't expect to see you here.
She is wearing a beautiful dress to a party.,She is wearing a beautiful dress to the party.
They're standing in the entrance.,They're standing at the entrance.
The driver decided to cautiously navigate the icy road.,The driver decided to navigate the icy road cautiously.
The teacher noticed the students laughing in the hallway.,The teacher noticed the students in the hallway laughing.
"They have four childs, two boys and two girls.","They have four children, two boys and two girls."
The concert was very loud it hurt my ears.,The concert was very loud; it hurt my ears.
"The coffee is strong, but it is not bitter.",The coffee is strong and not bitter.
She is a doctor she works at a hospital.,She is a doctor who works at a hospital.
The team I support it is from my hometown.,The team that I support is from my hometown.
They went to the museum they saw many paintings.,"They went to the museum, where they saw many paintings."
The exact same thing happened to me last week.,The same thing happened to me last week.
Few of the participants in the race finished within the time limit.,Few participants in the race finished within the time limit.
I have been not feeling well lately.,I have not been feeling well lately.
"The strategy involves analyzing market trends, identifying opportunities, and to develop new products.","The strategy involves analyzing market trends, identifying opportunities, and developing new products."
The manager wants to hire a new assistent for his department.,The manager wants to hire a new assistant for his department.
The airplane fly over the city.,The airplane flies over the city.
She will come home in the evening.,She will come home during the evening.
The process consists of mixin' the ingredients and bakin' the cake.,The process consists of mixing the ingredients and baking the cake.
The new employee handbook contains important info 'bout company policies and procedures.,The new employee handbook contains important information about company policies and procedures.
It's best both worlds.,It's the best of both worlds.
She is an expert at cooking Italian dishes.,She is an expert in cooking Italian dishes.
"The movie were really good, I enjoyed it.",The movie was really good; I enjoyed it.
They visited their grandparents on the weekend.,They visited their grandparents on the weekend.
They are going to a museum of modern art.,They are going to the museum of modern art.
The groceries were bought by Mark at the store.,Mark bought the groceries at the store.
Please RSVP as soon as possible.,Please RSVP.
The beach was crowded... had a great time.,"The beach was crowded, but we still had a great time."
"She is studying, or she is working on her assignment.",She is either studying or working on her assignment.
The company's management was criticized for their lack of communicate with employees.,The company's management was criticized for their lack of communication with employees.
The phone is charge on the table.,The phone is charging on the table.
"I want to travel, or I want to save money.",I want to either travel or save money.
The exhibition was visited by the tourists featuring local artists.,The exhibition featuring local artists was visited by the tourists.
The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
The artist paintings are in the gallery is very talented.,The artist whose paintings are in the gallery is very talented.
The government is focused on improvin' public services and infrastructure.,The government is focused on improving public services and infrastructure.
"i’m a fan of beyoncé, a famous singer.","I’m a fan of Beyoncé, a famous singer."
"The dog's fur is soft, it's coat is well-groomed.","The dog's fur is soft, its coat is well-groomed."
"He can play the guitar, and he can play the piano.",He can play both the guitar and the piano.
Her singing is less better than her dancing.,Her singing is not as good as her dancing.
The group of volunteers work tirelessly to help the community.,The group of volunteers works tirelessly to help the community.
That was the most hardest level of the game.,That was the hardest level of the game.
"My phone has GPS, but it's not v accurate.","My phone has Global Positioning System, but it's not very accurate."
"The research examines the effects of climate change, deforestation, and to propose conservation strategies.","The research examines the effects of climate change, deforestation, and proposes conservation strategies."
"I my laptop, working on a project.",I was using my laptop to work on a project.
I asked her to call me when she arives at the airport.,I asked her to call me when she arrives at the airport.
"The flowers are more beautiful than the plants, but less than the trees.","The flowers are more beautiful than the plants, but less beautiful than the trees."
She gave a complimentary to her colleague.,She gave a compliment to her colleague.
All of the houses in this neighborhood are well-maintained.,All the houses in this neighborhood are well-maintained.
"The concert was lit, and the crowd went wild.","The concert was outstanding, and the crowd went wild."
You can't have cake eat it too.,You can't have your cake and eat it too.
She was angry and furious at the situation.,She was furious at the situation.
The children needs to be picked up from school.,The children need to be picked up from school.
The recipe calls for two cups of flower and one cup of sugar.,The recipe calls for two cups of flour and one cup of sugar.
"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
The most highest mountain in the world is Mount Everest.,The highest mountain in the world is Mount Everest.
"The party, crowded, everyone having fun.","The party was crowded, and everyone was having fun."
I am a student at University of Washinton.,I am a student at the University of Washington.
"She asked ""Can you help me with my homework?""","She asked, ""Can you help me with my homework?"""
The flowers is growing in the garden.,The flowers are growing in the garden.
"The company's policies are strict, they're employees must follow them.","The company's policies are strict, their employees must follow them."
They didn't hire no new employees.,They didn't hire any new employees.
"The exhibition showcases paintings, sculptures, and it presents photography.","The exhibition showcases paintings, sculptures, and photography."
"The concert, loud, people dancing.","The concert was loud, and people were dancing."
The collection of coins are displayed in the museum.,The collection of coins is displayed in the museum.
The sun is shining it's a beautiful day.,The sun is shining; it's a beautiful day.
"The conference will cover topics such as artificial intelligence, data analysis, and to improve cybersecurity.","The conference will cover topics such as artificial intelligence, data analysis, and improving cybersecurity."
She thinks she's the most funniest person in the room.,She thinks she's the funniest person in the room.
"Please RSVP in advance, ahead of time.",Please RSVP in advance.
The dishes in the sink needs to be cleaned.,The dishes in the sink need to be cleaned.
"The sunset was beautiful, we took many pictures.",The sunset was beautiful; we took many pictures.
He was annoy by the constant noise.,He was annoyed by the constant noise.
"My phone's battery is dead, I need to charge it!",My phone's battery is dead; I need to charge it!
The flowers are growing by the river.,The flowers are growing alongside the river.
The volunteers are cleaning a beach on a weekend.,The volunteers are cleaning the beach on the weekend.
"I don't like seafood, but I enjoy sushi.","I don't like seafood, but I enjoy sushi."
The sculpture was created by the artist using clay and metal.,The artist created the sculpture using clay and metal.
"The instructions were unclear, not clear.",The instructions were unclear.
"You can't have your cake and eat it too, but too many cooks spoil the broth.",You can't have your cake and eat it too.
The children build a sandcastle on the beach.,The children built a sandcastle on the beach.
The dog chases it's tail.,The dog chases its tail.
The engine has 200hp and 300lb-ft tq.,The engine has 200 horsepower and 300 pound-feet of torque.
"They want to play soccer, or they want to play basketball.",They want to play either soccer or basketball.
"You can catch more flies with honey than with vinegar, but the grass is always greener on the other side.",You can catch more flies with honey than with vinegar.
He is smart he knows a lot of things.,"He is smart, and he knows a lot of things."
Few of the questions on this quiz are difficult.,Few questions on this quiz are difficult.
"The program encourages students to think creatively, collaborate, and to solve real-world problems.","The program encourages students to think creatively, collaborate, and solve real-world problems."
The sun rise in the east.,The sun rises in the east.
"The dog is friendly, and it is well-trained.",The dog is friendly and well-trained.
I need to buy a new SSD for my cmp.,I need to buy a new solid-state drive for my computer.
He is looking at a stars through a telescope.,He is looking at the stars through a telescope.
My favorite ice cream flavors are... chocolate and vanilla.,My favorite ice cream flavors are chocolate and vanilla.
The cafe I had breakfast was cozy.,The cafe where I had breakfast was cozy.
The children plays outside after school each day.,The children play outside after school each day.
"I need to study, or I need to work on the project.",I need to either study or work on the project.
The coffee was served by the barista with a beautiful design on top.,The coffee with a beautiful design on top was served by the barista.
I'll email you the details and the information.,I'll email you the details.
"The robot's programming is advanced, it's abilities are impressive.","The robot's programming is advanced, its abilities are impressive."
My friend lives on New York City.,My friend lives in New York City.
I'm excited for going on vacation.,I'm excited about going on vacation.
The author book I'm reading is from Ireland.,The author whose book I'm reading is from Ireland.
I prefer coffee instead tea.,I prefer coffee instead of tea.
The set of tools are in the garage.,The set of tools is in the garage.
"The store sells clothing, accessories, and they offer alterations.","The store sells clothing, accessories, and offers alterations."
Some of the people on this team are experienced professionals.,Some people on this team are experienced professionals.
The train was delayed due to a problem with the rail tracks.,The train was delayed due to a problem with the railroad tracks.
The artist was draw a portrait of the model.,The artist was drawing a portrait of the model.
I didn't meet no interesting people at the conference.,I didn't meet any interesting people at the conference.
She had a flair for writing poetry.,She had a flair for writing poetry.
She was angry and furious about the situation.,She was furious about the situation.
"If it rains tomorrow, we would have stayed indoors.","If it rains tomorrow, we will stay indoors."
This is the most more affordable option for us.,This is the more affordable option for us.
"The new software is user-friendly, efficient, and it helps increase productivity.","The new software is user-friendly, efficient, and increases productivity."
The dog chased the squirrels in the park yesterday.,The dog chased the squirrels in the park yesterday.
The students were asked to submit they're research papers by the end of the semester.,The students were asked to submit their research papers by the end of the semester.
"When I visited Paris, I went to the Louvre Museum, and the Eiffel Tower.","When I visited Paris, I went to the Louvre Museum and the Eiffel Tower."
He play guitar at the concert last night.,He played guitar at the concert last night.
The cake needs to be baked in 350 degress for 30 minutes.,The cake needs to be baked at 350 degrees for 30 minutes.
He threw the ball inside the window.,He threw the ball through the window.
They plants a tree in the garden.,They plant a tree in the garden.
"i like pizza, pasta, and ice cream.","I like pizza, pasta, and ice cream."
I was work on the project all day.,I was working on the project all day.
The project was managed by Tom from start to finish.,Tom managed the project from start to finish.
The project was cancel due to a lack of funding.,The project was canceled due to a lack of funding.
The store is closed today due to the holiday holiday.,The store is closed today due to the holiday.
Their's no denying that the Earth is round.,There's no denying that the Earth is round.
The book layed on the table for weeks.,The book lay on the table for weeks.
The research was conducted by the scientists in the lab.,The scientists conducted the research in the lab.
She has been working for the company since six years.,She has been working for the company for six years.
She loves reading books she reads every day.,"She loves reading books, and she reads every day."
He is talented for playing the guitar.,He is talented at playing the guitar.
The meeting was attended by the team discussing the new project.,The meeting discussing the new project was attended by the team.
Few of the employees in this company have worked here for over 20 years.,Few employees in this company have worked here for over 20 years.
The students are working on a project in a library.,The students are working on a project in the library.
"If it will snow, we would have a snowball fight.","If it snowed, we would have a snowball fight."
This is the most more efficient way to complete the task.,This is the more efficient way to complete the task.
"The sun bright, sunglasses needed.",The sun was so bright that sunglasses were needed.
The stm't from the CEO addressed the recent prblms.,The statement from the chief executive officer addressed the recent problems.
She wants to learn how to play the violin this year.,She wants to learn how to play the violin this year.
The couple plans their wedding together.,The couple plan their wedding together.
The scientist presented his findings to they're colleagues.,The scientist presented his findings to their colleagues.
"She's walking on thin ice, but Rome wasn't built in a day.",She's walking on thin ice.
"The team's performance was subpar, and they need to get their act together.","The team's performance was below average, and they need to improve."
"The results of the experiment were inconclusive, however they warrant further investigation.","The results of the experiment were inconclusive; however, they warrant further investigation."
my birthday is on january 1st.,My birthday is on January 1st.
Can't believe... leaving so soon.,I can't believe you're leaving so soon.
The farmer was milking the cow in the barn early in the morning.,The farmer was milking the cow in the barn early in the morning.
The athlete's success was attributable to his dedicate to his training.,The athlete's success was attributable to his dedication to his training.
She will be write a book next year.,She will be writing a book next year.
The orchestra perform at the concert hall every month.,The orchestra performs at the concert hall every month.
Me and her went to the movies.,She and I went to the movies.
The manager requested that John submits his report ASAP.,The manager requested that John submit his report as soon as possible.
"The movie was entertaining, suspenseful, and had an unexpected twist.","The movie was entertaining, suspenseful, and featured an unexpected twist."
The room was cleaned by the staff before the event.,The staff cleaned the room before the event.
The dog owner trained their dog to follow they're commands.,The dog owner trained his or her dog to follow his or her commands.
"His responsibilities include managing the team, budgeting, and to oversee projects.","His responsibilities include managing the team, budgeting, and overseeing projects."
The group of flowers in the vase is wilting.,The group of flowers in the vase are wilting.
"She practices yoga, enjoys meditation, and to go running.","She practices yoga, enjoys meditation, and goes running."
"She is a doctor, and she is a lawyer.",She is both a doctor and a lawyer.
"The job requires strong analytical skills, attention to detail, and being a good team player.","The job requires strong analytical skills, attention to detail, and good team player abilities."
The artist's new album is gonna drop next week.,The artist's new album is going to be released next week.
Can you help me with this problem?,Can you help me with this problem?
The group of dancers perform in perfect unison.,The group of dancers performs in perfect unison.
He is interested to learn guitar.,He is interested in learning guitar.
She was very excited about her upcoming vacation.,She was very excited about her upcoming vacation.
They're reading between lines.,They're reading between the lines.
"The organization aims to support local businesses, create jobs, and to stimulate economic growth.","The organization aims to support local businesses, create jobs, and stimulate economic growth."
He's just tip of the iceberg.,He's just the tip of the iceberg.
They didn't do jack to help with the project.,They didn't do anything to help with the project.
"My favorite colours are blue, green, and yelow.","My favorite colors are blue, green, and yellow."
"The event will feature live music, delicious food, and to raise money for charity.","The event will feature live music, delicious food, and raise money for charity."
The house was decorated by the designer with a modern touch.,The house with a modern touch was decorated by the designer.
She goes to the gym every day to exercising.,She goes to the gym every day to exercise.
The series of tests was challenging for the students.,The series of tests were challenging for the students.
He asked me a question and then repeated it again.,He asked me a question and then repeated it.
Few of the birds in this area are migratory.,Few birds in this area are migratory.
I walk to work every day last month.,I walked to work every day last month.
I couldn't find no information on the topic.,I couldn't find any information on the topic.
The car was driven by the mechanic for a test with a strange noise.,The car with a strange noise was driven by the mechanic for a test.
"Our goals are to increase revenue, improve efficiency, and to expand our market reach.","Our goals are to increase revenue, improve efficiency, and expand our market reach."
The sun is shining bright and it's a beutiful day.,"The sun is shining bright, and it's a beautiful day."
They didn't make no progress on the project.,They didn't make any progress on the project.
i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
"The recipe requires fresh ingredients, careful preparation, and to cook at the right temperature.","The recipe requires fresh ingredients, careful preparation, and cooking at the right temperature."
"The restaurant is busy, but it is not noisy.",The restaurant is busy and not noisy.
You're barking the wrong tree.,You're barking up the wrong tree.
She don't like to watch horror movies.,She doesn't like to watch horror movies.
The engineer explained the technical aspects of the project to the client and they're manager.,The engineer explained the technical aspects of the project to the client and their manager.
The politician's speech was focused on promote unity.,The politician's speech was focused on promoting unity.
The speaker is giving a presentation on a social issues.,The speaker is giving a presentation on social issues.
"The package, delivered, on the porch.",The package was delivered and left on the porch.
"The app's UX is kinda clunky, if you ask me.","The app's user experience is somewhat clunky, in my opinion."
The movie is based on a true story.,The movie is based on a true story.
She buy a new dress for the party.,She buys a new dress for the party.
"The movie was great, but it's ending was sad.","The movie was great, but its ending was sad."
They went to beach and had a great time together.,They went to the beach and had a great time together.
The architect's bold vision led to the creation of a beautiful building.,The architect's bold vision led to creating a beautiful building.
"If the weather was better, we will go for a walk.","If the weather were better, we would go for a walk."
The flowers are blooming in a springtime.,The flowers are blooming in the springtime.
The dog was chase the squirrel.,The dog was chasing the squirrel.
The flowers are blooming spring has arrived.,The flowers are blooming since spring has arrived.
The article was written by a talented writer exploring a controversial topic.,The article exploring a controversial topic was written by a talented writer.
"If I won the lottery, I could have traveled the world.","If I won the lottery, I could travel the world."
The books on the shelf are belongs to the library.,The books on the shelf belong to the library.
"The org is a non-profit, it's a 501c3.","The organization is a non-profit, it's a 501(c)(3)."
"The program aims to promote healthy eating, regular exercise, and to reduce stress.","The program aims to promote healthy eating, regular exercise, and stress reduction."
i don’t know how to play chess.,I don’t know how to play chess.
The shirt I spilled coffee on it is ruined.,The shirt on which I spilled coffee is ruined.
"She shouted""Stop that right now!""","She shouted, ""Stop that right now!"""
"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
Many of the snacks in this vending machine are unhealthy.,Many snacks in this vending machine are unhealthy.
"The vacation package includes flights, accommodation, and you can enjoy guided tours.","The vacation package includes flights, accommodation, and guided tours."
"If she will be more patient, she could have taught the class.","If she were more patient, she could teach the class."
He didn't have no time to study.,He didn't have any time to study.
He's got a knack for fixing busted tech.,He has a talent for repairing broken technology.
The athletes have been trainin' hard for the upcoming competition.,The athletes have been training hard for the upcoming competition.
The person I talked to him on the phone was very helpful.,The person to whom I talked on the phone was very helpful.
"She the store, looking for shoes.","She was at the store, looking for shoes."
The dog was friendly... barked loudly.,"The dog was friendly, but it barked loudly."
The group of fish swim together in the tank.,The group of fish swims together in the tank.
The birds fly to the south for it's warmer.,The birds fly to the south because it's warmer.
Many of the plants in this garden are native to the region.,Many plants in this garden are native to the region.
"She bought a new car, a brand new car.",She bought a new car.
"It's six one, half dozen other.","It's six of one, half a dozen of the other."
"Ignorance is bliss, but knowledge is power.",Ignorance is bliss.
The dishes were washed by Peter after dinner.,Peter washed the dishes after dinner.
The crowd of people was waiting for the parade to start.,The crowd of people were waiting for the parade to start.
The girl found the lost puppy was very kind.,The girl who found the lost puppy was very kind.
"The phone's battery is low, it's screen is dim.","The phone's battery is low, its screen is dim."
This plants need water everyday to grow well.,These plants need water every day to grow well.
"The teacher asked the students to write an essay, read a book, and preparing a presentation.","The teacher asked the students to write an essay, read a book, and prepare a presentation."
He made a summary and a brief overview of the meeting.,He made a summary of the meeting.
"The project's deadline is approaching, they're team is working hard.","The project's deadline is approaching, their team is working hard."
The team of researchers are committed to finding a solution.,The team of researchers is committed to finding a solution.
The weather is more warmer in the south.,The weather is warmer in the south.
The concert was more louder than I expected.,The concert was louder than I expected.
The UN has declared a new initiative for SDGs.,The United Nations has declared a new initiative for Sustainable Development Goals.
The little girl was looking forward to her birthay party.,The little girl was looking forward to her birthday party.
He's car needs a new engine.,His car needs a new engine.
"She is skilled in programming, data analysis, and to create visualizations.","She is skilled in programming, data analysis, and creating visualizations."
The tourists visit the museum yesterday.,The tourists visited the museum yesterday.
The team of doctors have developed a new treatment.,The team of doctors has developed a new treatment.
He won't able came to the party tonight.,He won't be able to come to the party tonight.
The doctor advised the patient to quit smoke.,The doctor advised the patient to quit smoking.
The Earth revolves around a Sun.,The Earth revolves around the Sun.
The coach instructed to aggressively play defense.,The coach instructed to play defense aggressively.
He is the most more talented musician I know.,He is the more talented musician I know.
The recipe calls for 1lb of grd beef.,The recipe calls for 1 pound of ground beef.
She will goes to the party tonight.,She will go to the party tonight.
"The computer is slow, but it is reliable.",The computer is slow and reliable.
"The store's sale is popular, they're discounts are great.","The store's sale is popular, their discounts are great."
The package was delivered to the wrong address by the courier by mistake.,The package was delivered by the courier to the wrong address by mistake.
They goes to the same school as their cousins.,They go to the same school as their cousins.
Your guess good as mine.,Your guess is as good as mine.
The audience enjoyed a performance of a play.,The audience enjoyed the performance of the play.
I seen a movie last night.,I saw a movie last night.
The medicine was prescribed by the doctor for my illness.,The doctor prescribed the medicine for my illness.
